stationcode,name,latitude,longitude,numbikesavailable,mechanical,ebike,numdocksavailable,capacity,taux_occupation,nom_arrondissement_communes,meteo_temp,meteo_vent,meteo_humidite,date_calcul
10011,Bourse du Travail,48.868976638826,2.3623438552022,0,0,0,15,17,0.0,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
10014,Marseille - Beaurepaire,48.871624306962985,2.3639265082738348,13,5,8,42,55,23.6,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
1006,Grande Truanderie - Saint-Denis,48.8626302,2.3498075,16,4,12,14,33,48.5,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
1007,Turbigo - Française,48.86358858111446,2.3477794602513313,15,5,10,1,16,93.8,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
1016,Thérèse - Opéra,48.866483514509,2.3344334212238,20,12,8,5,25,80.0,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
10164,Claude Vellefaux - Sambre et Meuse,48.875022,2.370478,3,2,1,31,34,8.8,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
10165,Gare de l'Est - Place du 11 Novembre 1918,48.876327,2.3585464,5,2,3,35,40,12.5,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
1022,Danielle Casanova - Place Vendôme,48.868266498223,2.3304839059711,18,4,14,19,37,48.6,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
11004,Charonne - Faubourg Saint-Antoine,48.852191909696,2.3740932717919,19,14,5,14,34,55.9,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
11012,Montreuil - Voltaire,48.850507011842,2.3930755582745,6,1,5,26,34,17.6,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
11017,Charonne - Bureau,48.854176,2.396093,4,0,4,43,47,8.5,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
11018,Saint-Maur - République,48.864185861455,2.3783174157143,3,2,1,47,50,6.0,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
11019,Charonne - Philippe-Auguste,48.855603162026,2.39054639062,2,0,2,29,32,6.3,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
11023,Saint-Maur - Roquette,48.858688774063,2.3835539945715,6,3,3,58,65,9.2,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
11028,Guillaume Bertrand - République,48.863825174341,2.380906377155,3,0,3,35,38,7.9,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
11043,Place Pasdeloup,48.862654215631,2.3670325062844,6,2,4,14,21,28.6,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
11044,Square du Bataclan,48.8633762,2.3711327,6,3,3,12,20,30.0,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
11046,Place de la République - Voltaire,48.866830968942,2.3654810339212,10,5,5,9,19,52.6,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
11047,Amelot - Saint-Sébastien,48.861142162761,2.3677996181077,12,8,4,18,30,40.0,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
11102,Alexandre Dumas - Voltaire,48.852888670365,2.3891476408096,6,2,4,67,74,8.1,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
11107,Faidherbe - Dahomey,48.851358329771806,2.383823134795429,10,9,1,34,44,22.7,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
11110,Roquette - Folie Regnault,48.859246959155,2.3865536235787,7,1,6,45,52,13.5,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
12005,Crozatier - Faubourg Saint-Antoine,48.850440013405,2.378901366211,18,15,3,21,42,42.9,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
12016,Saint-Mande - Picpus,48.845127728278,2.4015686296482,6,2,4,29,35,17.1,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
12034,Pirogues de Bercy - Libourne,48.832308,2.38637,47,37,10,2,49,95.9,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
12036,Reuilly - Place Felix Eboue,48.84030274499962,2.394630398715453,7,3,4,35,42,16.7,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
12111,Claude Decaen - Cannebière,48.83761417037952,2.397253782195704,3,0,3,42,45,6.7,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
12115,Porte de Vincennes,48.846454,2.415514,10,9,1,23,33,30.3,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
12154,Square Georges Melies,48.84070239213081,2.409667745232582,8,5,3,29,40,20.0,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
13017,Nationale - Vincent Auriol,48.83252708397293,2.362354410392119,3,1,2,30,33,9.1,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
13043,Dunois - Clisson,48.832294,2.3674523,10,5,5,41,51,19.6,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
13101,Croulebarde - Corvisart,48.830981659316855,2.3481646925210953,3,2,1,31,34,8.8,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
13104,Gare d'Austerlitz - Quai Saint-Bernard,48.84369030864,2.3657163977623,4,3,1,21,27,14.8,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
13106,Bobillot - Paulin Mery,48.829899841747,2.3543356766749,8,1,7,14,23,34.8,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
13113,Vistule - Choisy,48.82365543660611,2.3615723848342896,1,1,0,32,33,3.0,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
13123,BNF - Bibliothèque Nationale de France,48.8350268238,2.3760157451034,42,31,11,4,42,100.0,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
13125,Gare d'Austerlitz - Pont Charles de Gaulle,48.842319830109,2.3670300096273,7,6,1,68,75,9.3,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
14003,Schoelcher - Raspail,48.83681733526843,2.3312794080411474,3,1,2,44,50,6.0,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
14010,Jean Moulin - Place Victor et Hélène Basch,48.82764910241,2.3261967301369,7,1,6,33,41,17.1,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
14034,Ouest - Château,48.83617286014242,2.319392143923804,2,0,2,39,41,4.9,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
14108,Le Brix et Mesmin - Jourdan,48.82234096593411,2.327861653302471,1,0,1,19,21,4.8,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
14113,Santé - Arago,48.83507657562064,2.3415737262044938,1,0,1,36,38,2.6,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
14139,Pierre Larousse - Raymond Losserand,48.83059564231877,2.3119183257222176,1,1,0,28,30,3.3,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
14201,Decrès - Alésia,48.832200060759,2.3139070151575,2,0,2,28,30,6.7,Paris,29.23,1.99,45,2026-06-29T15:18:04.364Z
